128,-,Leranwell General Knowledge,"Das, R",Holy Faith International,-,-,1st Standard,-,-,80
131,-,Moving Ahead with General Knowledge,"Arora, A",Sapphire India Publishers Pvt Ltd.,-,-,1st Standard,-,-,59
132,-,Focus on General Knowledge,"Bhatnagar, VR",Suman Prakashan Pvt. Ltd.,-,-,1st Standard,-,-,0
133,-,Knowledge Hunt: General Knowledge,"Mehtani, H",Madhubun Educational Books,-,-,1st Standard,-,-,82
138,-,Brainwave: General Knowledge,"Malhotra, A",Peason Longman,-,-,1st Standard,-,-,75
142,-,Test your Knowledge,add,Gur Das Kapur & Sons P.Ltd,-,-,1st Standard,-,-,90
143,-,How? What? Why? My Book Of General Knowledge,Kanpuria,Madhubun Educational Books,-,-,1st Standard,-,-,66
146,-,General Knowledge,Kapoor A,Jeevandeep Prakashan Pvt. Ltd.,-,-,1st Standard,-,-,22
147,-,Derek''o Brinen''s General Knowledge for class 1,add,Pearson Longman,-,-,1st Standard,-,-,90
148,-,Schlar Book of General Knowledge,Archana,FK Publication,-,-,1st Standard,-,-,85
151,-,My Favourite Book Of G.K. with I.Q. Tests,"Shrama, SC",Good Luck Publihers limited,-,-,1st Standard,-,-,75
153,-,My Big Book of G.K : General Knowledge,"Fanthome, F and Fanthome, D",Ratna Sagar Pvt. Ltd.,-,-,1st Standard,-,-,59
157,-,Mr. Know All : General Knowledge,"Ramanathan, K",Arrow Publication Pvt. Ltd.,-,-,1st Standard,-,-,85
158,-,General Knowledge,Sebastain SDB,Oxford University Press,-,-,1st Standard,-,-,43
160,-,General Knowledge Times,"Vijaya, SR",Goyal brothers Prakashan,-,-,1st Standard,-,-,65
165,-,Joyful Learning Activity Book 1,"Kumar, V",Cordova Publication Pvt. Ltd.,-,-,1st Standard,-,-,180
167,-,Endless worlds? The Frank General Knowledge Series,"Mohanty, S",Frank Bros & Co.,-,-,1st Standard,-,-,70
168,-,General Knowledge Times,"Vijaya, SR",Goyal brothers Prakashan,-,-,1st Standard,-,-,59
172,-,ABC of General Knowledge,"Singh, AV",Holy Faith International,-,-,1st Standard,-,-,72
174,-,General Knowledge,Kapoor A,Jeevandeep Prakashan Pvt. Ltd.,-,-,1st Standard,-,-,20
176,-,General Knowledge New Search and Find!,"Scott, P",Tarun Publiactions,-,-,1st Standard,-,-,90
177,-,General Knowledge Update,"Doshi, DM",Cordova Publication Pvt. Ltd.,-,-,1st Standard,-,-,85
179,-,Facts for Fun : General knowledge,"Vas, G","Allied Publishers Pvt, Ltd.",-,-,1st Standard,-,-,40
180,-,Ocean of Knowledge : An illustrated Book on General Knowledge,"Gupta, RK",Vikas Books Ltd.,-,-,1st Standard,-,-,65
184,-,Brain Booster,"Mehrotra, S",ACE Books,-,-,1st Standard,-,-,80
185,-,General Knowledge,add,Periwinkle  Books,-,-,1st Standard,-,-,75
186,-,What''s what book For General knowledge: life skill & brain-teasrs,"Agrawal, M",Viva Education,-,-,1st Standard,-,-,75
187,-,Tell me More General Knowledge & Life Skills,"Gangopadhyay, N?et al",Ratna Sagar Pvt. Ltd.,-,-,1st Standard,-,-,115
189,-,IT Genius : A Computer Book For the Next Generation,"Chugh, R K",G.Ram Books P Ltd.,-,-,1st Standard,-,-,95
190,-,CompACt: Learning Computer Through Activities,"Madan, M and Siddiqi, N",Navdeep Publication,-,-,1st Standard,-,-,65
191,-,Exploring Information Technology,add,Macmillan Publisher India Ltd.,-,-,1st Standard,-,-,57
192,-,Computer @ school : MS Word,add,Jeevandeep Prakashan Pvt. Ltd.,-,-,1st Standard,-,-,48
193,-,Computers Ahead: Information technology,"Ray, K",Orient BlackSwan Pvt.Ltd,-,-,1st Standard,-,-,80
194,-,Start Up Computer Science,"Toor, V",Viva Education,-,-,1st Standard,-,-,65
195,-,Chips and Bits: Informion Outlook,"Bindra, G",Tarun Publiactions,-,-,1st Standard,-,-,90
197,-,Computer Science,"Sen, S",Frank Bros & Co.,-,-,1st Standard,-,-,60
198,-,Computer Vision,"Pandit, R",Orient BlackSwan Pvt.Ltd,-,-,1st Standard,-,-,85
