GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
1929,1,1,0,0,1,0,1,0,0
1932,1,0,0,0,1,0,1,0,0
1933,1,1,0,0,0,0,1,1,0
1936,0,0,0,0,0,0,0,0,0
1940,1,0,0,0,0,0,1,0,0
1941,1,0,0,0,0,0,1,0,0
1943,1,1,0,0,1,0,1,0,0
1945,1,1,1,1,0,0,1,0,0
1960,1,1,1,1,0,0,1,0,0
1964,1,0,0,0,1,0,1,0,0
1965,1,1,0,0,0,0,1,0,0
1970,1,0,0,0,0,0,1,0,0
1985,1,1,1,1,0,0,1,0,0
1992,1,1,1,1,0,0,1,0,0
1993,1,1,1,1,0,0,1,0,0
1998,1,1,0,0,0,0,1,0,0
2000,1,1,0,0,0,0,1,0,0
2001,1,0,0,0,0,0,1,0,0
2003,1,1,0,0,0,0,1,0,0
2005,1,1,1,1,0,0,1,0,0
2006,1,1,0,0,0,0,1,0,0
2008,1,1,1,1,0,0,1,0,0
2010,1,1,1,1,0,0,1,0,0
2011,1,1,0,0,0,0,1,0,0
2012,0,0,0,0,0,0,0,0,0
2013,1,1,0,0,0,0,1,0,0
2014,1,1,0,0,0,0,1,0,0
2015,1,0,0,0,0,0,1,0,0
2016,1,0,0,0,0,0,1,0,0
2017,1,0,0,0,0,0,1,0,0
2018,1,1,1,1,0,0,1,0,0
2019,1,1,0,0,0,0,1,0,0
2020,1,1,0,0,0,0,1,0,0
2021,1,1,0,0,0,0,1,0,0
2024,1,1,1,1,0,0,1,0,0
2025,1,0,0,0,0,0,1,0,0
2026,1,1,1,1,0,0,1,0,0
2029,0,0,0,0,0,0,0,0,0
2030,1,1,0,0,0,0,1,0,0
2031,0,0,0,0,0,0,0,0,0
2033,1,0,0,0,0,0,1,0,0
2034,1,0,0,0,0,0,1,0,0
2035,0,0,0,0,0,0,0,0,0
2037,1,0,0,0,0,0,1,0,0
2040,1,1,0,0,0,0,1,0,0
2041,1,0,0,0,0,0,1,0,0
2043,1,1,0,0,0,0,1,0,0
2044,1,1,1,1,0,0,1,0,0
2045,1,0,0,0,0,0,1,0,0
2046,1,1,0,0,0,0,1,0,0
2048,0,0,0,0,0,0,0,0,0
2050,1,0,0,0,0,0,1,0,0
2053,1,1,1,1,0,0,1,0,0
2054,1,1,0,0,0,0,1,0,0
2055,1,0,0,0,0,0,1,0,0
2057,1,1,0,0,0,0,1,0,0
2058,1,0,0,0,0,0,1,0,0
2059,1,1,1,1,0,0,1,0,0
2060,1,0,0,0,0,0,1,0,0
2061,1,0,0,0,0,0,1,0,0
2062,1,1,0,0,0,0,1,0,0
2063,1,0,0,0,0,0,1,0,0
2064,1,0,0,0,0,0,1,0,0
2065,1,0,0,0,0,0,1,0,0
2066,1,0,0,0,0,0,1,0,0
2067,1,1,1,1,0,0,1,0,0
2068,0,0,0,0,0,0,0,0,0
2073,1,0,0,0,0,0,1,0,0
2074,1,1,0,0,0,0,1,0,0
2075,1,1,0,0,0,0,1,0,0
2076,1,1,0,0,0,0,1,0,0
2077,1,0,0,0,0,0,1,0,0
2080,1,0,0,0,0,0,1,0,0
2081,1,0,0,0,0,0,1,0,0
2082,1,0,0,0,0,0,1,0,0
2083,1,1,1,1,0,0,1,0,0
2084,1,0,0,0,0,0,1,0,0
2085,1,1,0,0,1,0,1,0,0
2086,1,1,0,0,1,0,1,0,0
2088,1,1,0,0,1,0,1,0,0
2090,1,1,0,0,1,0,1,0,0
2091,1,1,0,0,1,0,1,0,0
2092,1,1,0,0,0,0,1,0,0
2094,0,0,0,0,0,0,0,0,0
2095,0,0,0,0,0,0,0,0,0
2097,1,0,0,0,0,0,1,0,0
2103,1,0,0,0,0,0,1,0,0
2109,1,0,0,0,0,0,1,0,0
2112,1,0,0,0,0,0,1,0,0
