GR_NO,c1,c2,c3,c4,c5,c6,c7,C8,C9
1832,452415428400, , , , , ,452415428400, , 
1833,434657,434657, , ,434657, ,434657, , 
1835, , , , , , , , , 
1836,715411, , , , , ,715411, , 
1837,002999,002999, , , , ,002999, , 
1838,410774469084, , , , , ,410774469084, , 
1840,117730,117730, , ,117730, ,117730, , 
1841,001716, , , ,001716, ,001716, , 
1842, , , , , , , , , 
1843,120610,120610,120610,120610, , ,120610, , 
1845,000072,000072, , , , ,000072, , 
1847,775445, , , , , ,775445, , 
1848,775445, , , , , ,775445, , 
1849,155781,155781,155781,155781, , ,155781, , 
1851,723198, , , , , ,723198, , 
1852,440529,440529,440529,440529, , ,440529, , 
1854,408788245878, , , , , ,408788245878, , 
1855,408788245878, , , , , ,408788245878, , 
1856,042570, , , , , ,042570, , 
1858,001371, , , , , ,001371, , 
1860,000069,000069, , ,000069, ,000069, , 
1861,428047,428047, , , , ,428047, , 
1862,407988997175,407988997175,407988997175,407988997175, , ,407988997175, , 
1864,409319377049,409319377049,409319377049,409319377049, , ,409319377049, , 
1866,009007,009007, , , , ,009007, , 
1868,068356,068356, , , , ,068356, , 
1869,453475,453475,453475,453475, , ,453475, , 
1870,187810,187810, , ,187810, ,187810, , 
1874,000037,000037, , , , ,000037, , 
1876,415557758384,415557758384, , ,415557758384, ,415557758384, , 
1878,413841120437, , , , , ,413841120437, , 
1879,000174, , , , , ,000174, , 
1881,055457,055457, , , , ,055457, , 
1882,414812328468,414812328468, , ,414812328468, ,414812328468, , 
1884,414325135450,414325135450, , ,414325135450, ,414325135450, , 
1885,000208,000208, , , , ,000208, , 
1887,407910316553,407910316553, , , , ,407910316553, , 
1888, , , , , , , , , 
1889,445519, , , , , ,445519, , 
1890,000024,000024, , ,000024, ,000024, , 
1891,000024,000024, , ,000024, ,000024, , 
1892,000018,000018, , ,000018, ,000018, , 
1896,452218136959, , , ,452218136959, ,452218136959, , 
1897,195722,195722, , , , ,195722, , 
1899,322517, , , , , ,322517, , 
1901,035395,035395, , ,035395, ,035395, , 
1909,000063,000063, , ,000063, ,000063, , 
1918,000831,000831, , , , ,000831,000831, 
1919,000667,000667, , ,000667, ,000667, , 
1922,414882353985,414882353985, , ,414882353985, ,414882353985, , 
1923,450818868815,450818868815, , ,450818868815, ,450818868815, , 
1924,955952,955952, , , , ,955952, , 
1925,414375448725,414375448725, , ,414375448725, ,414375448725, , 
1926,233585,233585, , , , ,233585, , 
1927,000085,000085, , , , ,000085, , 
1928,444886174900,444886174900, , , , ,444886174900, , 
1929,385331,385331, , ,385331, ,385331, , 
1932,000036, , , ,000036, ,000036, , 
1933,913968,913968, , , , ,913968,913968, 
1936, , , , , , , , , 
1940,225341, , , , , ,225341, , 
1941,416057471272, , , , , ,416057471272, , 
1943,N148243056969335,N148243056969335, , ,N148243056969335, ,N148243056969335, , 
1945,000530,000530,000530,000530, , ,000530, , 
1960,267419,267419,267419,267419, , ,267419, , 
1964,414520539244, , , ,414520539244, ,414520539244, , 
1965,000034,000034, , , , ,000034, , 
1970,068464, , , , , ,068464, , 
1985,274381,274381,274381,274381, , ,274381, , 
1989, , , , , , , , , 
1992,034091,034091,034091,034091, , ,034091, , 
1993,107214,107214,107214,107214, , ,107214, , 
1998,001021,001021, , , , ,001021, , 
1999, , , , , , , , , 
2000,000030,000030, , , , ,000030, , 
2001,000036, , , , , ,000036, , 
2003,412047996388 ,412047996388 , , , , ,412047996388 , , 
2005,007806,007806,007806,007806, , ,007806, , 
2006,000027,000027, , , , ,000027, , 
2008,000016,000016,000016,000016, , ,000016, , 
2010,000015,000015,000015,000015, , ,000015, , 
2011,957166,957166, , , , ,957166, , 
2012, , , , , , , , , 
2013,382665,382665, , , , ,382665, , 
2014,000153,000153, , , , ,000153, , 
2015,000027, , , , , ,000027, , 
2016,000042, , , , , ,000042, , 
2017,410375349330, , , , , ,410375349330, , 
2018,005159,005159,005159,005159, , ,005159, , 
2019,692058,692058, , , , ,692058, , 
2020,596140,596140, , , , ,596140, , 
2021,000024,000024, , , , ,000024, , 
2024,089866,089866,089866,089866, , ,089866, , 
2025,410663289207, , , , , ,410663289207, , 
2026,001906,001906,001906,001906, , ,001906, , 
2028, , , , , , , , , 
2029, , , , , , , , , 
2030,898300,898300, , , , ,898300, , 
2031, , , , , , , , , 
2033,409908836143 (8/4/24), , , , , ,409908836143 (8/4/24), , 
2034,409444519382 (3/4/24), , , , , ,409444519382 (3/4/24), , 
2035, , , , , , , , , 
2037,KCCBN24099436818 (8/4/24), , , , , ,KCCBN24099436818 (8/4/24), , 
2040,000188,000188, , , , ,000188, , 
2041,129784, , , , , ,129784, , 
2043,408089698213,408089698213, , , , ,408089698213, , 
2044,665243,665243,665243,665243, , ,665243, , 
2045,N100242980301389, , , , , ,N100242980301389, , 
2046,408048104394,408048104394, , , , ,408048104394, , 
2048, , , , , , , , , 
2050,UPI=411401189805=7000 (23/4/24)+UPI=448269728863=50(25/4/24), , , , , ,UPI=411401189805=7000 (23/4/24)+UPI=448269728863=50(25/4/24), , 
2052, , , , , , , , , 
2053,410631851161 (15/4/24),410631851161 (15/4/24),410631851161 (15/4/24),410631851161 (15/4/24), , ,410631851161 (15/4/24), , 
2054,000443,000443, , , , ,000443, , 
2055,000044, , , , , ,000044, , 
2057,407964636507,407964636507, , , , ,407964636507, , 
2058,358228, , , , , ,358228, , 
2059,UPI=408250098201=58872 (22/3/24)+UPI=410670234837=2000 (15/4/24)+UPI=410607935936=29272(15/4/24,UPI=408250098201=58872 (22/3/24)+UPI=410670234837=2000 (15/4/24)+UPI=410607935936=29272(15/4/24,UPI=408250098201=58872 (22/3/24)+UPI=410670234837=2000 (15/4/24)+UPI=410607935936=29272(15/4/24,UPI=408250098201=58872 (22/3/24)+UPI=410670234837=2000 (15/4/24)+UPI=410607935936=29272(15/4/24, , ,UPI=408250098201=58872 (22/3/24)+UPI=410670234837=2000 (15/4/24)+UPI=410607935936=29272(15/4/24, , 
2060,AXOIR10631530202 (15/4/24), , , , , ,AXOIR10631530202 (15/4/24), , 
2061,104544, , , , , ,104544, , 
2062,015846,015846, , , , ,015846, , 
2063,410624926562, , , , , ,410624926562, , 
2064,415798763424, , , , , ,415798763424, , 
2065,374220, , , , , ,374220, , 
2066,409282984383, , , , , ,409282984383, , 
2067,444507388670,444507388670,444507388670,444507388670, , ,444507388670, , 
2068, , , , , , , , , 
2073,000036, , , , , ,000036, , 
2074,002709,002709, , , , ,002709, , 
2075,002709,002709, , , , ,002709, , 
2076,002709,002709, , , , ,002709, , 
2077,060065, , , , , ,060065, , 
2080,446900778612, , , , , ,446900778612, , 
2081,UPI=410673986621=5825 (15/4/24)+UPI=411623440899=1175 (25/4/24), , , , , ,UPI=410673986621=5825 (15/4/24)+UPI=411623440899=1175 (25/4/24), , 
2082,410624195774, , , , , ,410624195774, , 
2083,923945,923945,923945,923945, , ,923945, , 
2084,000043, , , , , ,000043, , 
2085,323020,323020, , ,323020, ,323020, , 
2086,451849615367,451849615367, , ,451849615367, ,451849615367, , 
2088,452217546258,452217546258, , ,452217546258, ,452217546258, , 
2090,524044,524044, , ,524044, ,524044, , 
2091,UPI=414812446010=17320+ UPI=414812477064=10 (27/5/24),UPI=414812446010=17320+ UPI=414812477064=10 (27/5/24), , ,UPI=414812446010=17320+ UPI=414812477064=10 (27/5/24), ,UPI=414812446010=17320+ UPI=414812477064=10 (27/5/24), , 
2092,960463,960463, , , , ,960463, , 
2094, , , , , , , , , 
2095, , , , , , , , , 
2097,409998670298, , , , , ,409998670298, , 
2100, , , , , , , , , 
2103,AXOMB09534278079 (4/4/24), , , , , ,AXOMB09534278079 (4/4/24), , 
2109,409665795146, , , , , ,409665795146, , 
2112,000092, , , , , ,000092, , 
2115,407909876520, , , , , ,407909876520, , 
2116,411698685943,411698685943, , , , ,411698685943, , 
2117,410718197070,410718197070, , , , ,410718197070, , 
2118,037276, , , , , ,037276, , 
2120,407919214086,407919214086,407919214086,407919214086, , ,407919214086, , 
2121, , , , , , , , , 
2122,000648, , , , , ,000648, , 
2127, , , , , , , , , 
2128, , , , , , , , , 
2129,409357784029 (2/4/24),409357784029 (2/4/24), , , , ,409357784029 (2/4/24), , 
2130,411346962991,411346962991, , , , ,411346962991, , 
2131,NEFT=VCOB240409000955=13100 (9/4/24)+NEFT=VCOB240412000550=300 (12/4/24),NEFT=VCOB240409000955=13100 (9/4/24)+NEFT=VCOB240412000550=300 (12/4/24), , , , ,NEFT=VCOB240409000955=13100 (9/4/24)+NEFT=VCOB240412000550=300 (12/4/24), , 
2132,000152,000152, , ,000152, ,000152, , 
2146,376768,376768, , , , ,376768, , 
2147,376770,376770, , ,376770, ,376770, , 
